ESPAÑOL,,,,ACTIVO,,,RESERVA,,,,,,OBLPN,,,,,
ORGANIZACIÓN,PRODUCTO,DESCRIPCIÓN DEL PRODUCTO,CUPO,DISPONIBLE,ASIGNADO,TOTAL EN ACTIVO,RECIBIDO,UBICADO,PARCIALMENTE ASIGNADO,ASIGNADO,PERDIDO,TOTAL EN RESERVA,EN PICKING,EMPACADO,CARGADO,TOTAL OBLPN,TOTAL EN UOM,TOTAL EN PIEZAS
FAT,124382,Chips Jalapeno 1p 42g FLOW BAR,30,0,0,0,0,231,0,0,0,231,0,0,0,0,231,6930
FAT,124383,Chips Sal 1p 42g FLOW BAR,30,81,0,81,0,213,0,0,0,213,0,0,0,0,294,8820
FAT,124440,Golden Nuts Japones Nvo Pc 1p 100g FLOW BAR,35,104,7,111,0,0,0,0,0,0,0,11,0,11,122,4270
FAT,124443,Kiyakis Nvo Pc 1p 50g FLOW BAR,88,61,0,61,0,440,0,0,0,440,0,11,0,11,512,45056
FAT,124445,Kiyakis Nvo Pc 1p 95g FLOW BAR,40,395,0,395,0,220,0,0,0,220,0,16,0,16,631,25240
FAT,124447,Kiyakis Nvo Pc 1p 150g FLOW BAR,34,54,0,54,0,550,0,0,0,550,0,0,0,0,604,20536
FAT,124543,Valentones Fuego 1p 60g FLOW BAR,20,365,17,382,0,1029,0,0,0,1029,0,0,0,0,1411,28220
FAT,124605,Chips Jalapeno 1p 42g FLOW BAR,50,82,0,82,0,833,0,0,0,833,0,0,0,0,915,45750
FAT,124616,Chips Fuego 1p 42g FLOW BAR,50,97,0,97,0,637,0,0,0,637,0,0,0,0,734,36700
FAT,124617,Runners 1p 58g FLOW BAR,60,144,0,144,0,294,0,0,0,294,0,0,0,0,438,26280
FAT,124699,Hot Nuts Original 1p 160g FLOW BAR,24,470,4,474,0,550,0,0,0,550,0,18,0,18,1042,25008
FAT,124824,Takis Fuego 1p 200g FLOW BAR,20,86,41,127,0,2254,0,147,0,2401,0,106,0,106,2634,52680
FAT,124835,Takis Fuego 1p 56g FLOW BAR,48,175,0,175,0,1001,0,0,0,1001,0,0,0,0,1176,56448
FAT,124836,Takis Fajitas 1p 56g FLOW BAR,48,173,0,173,0,455,0,0,0,455,0,0,0,0,628,30144
FAT,124837,Chips Sal 1p 42g FLOW BAR,50,89,0,89,0,490,0,0,0,490,0,0,0,0,579,28950
FAT,125030,Big Mix Fuego 1p 185g FLOW BAR,10,251,0,251,0,196,0,98,0,294,0,36,0,36,581,5810
FAT,125031,Big Mix Queso 1p 185g FLOW BAR,10,170,0,170,0,1078,0,196,0,1274,0,44,0,44,1488,14880
FAT,125034,Runners Pc 1p 80g FLOW BAR,42,286,0,286,0,1127,0,0,0,1127,0,34,0,34,1447,60774
FAT,125056,Takis Fuego 1p 260g FLOW BAR,12,266,0,266,0,490,0,0,0,490,0,22,0,22,778,9336
FAT,125191,Chips Fuego 1p 240g FLOW BAR,8,85,0,85,0,441,0,0,0,441,0,0,0,0,526,4208
FAT,125192,Chips Jalapeno 1p 240g FLOW BAR,8,137,0,137,0,2370,0,0,0,2370,0,0,0,0,2507,20056
FAT,125193,Chips Sal 1p 240g FLOW BAR,8,84,0,84,0,1764,0,0,0,1764,0,0,0,0,1848,14784
FAT,126133,Golden Nuts Enchilado Nvo 1p 78g FLOW BAR,64,50,0,50,0,330,0,0,0,330,0,4,0,4,384,24576
FAT,126134,Golden Nuts Japones Nvo 1p 78g FLOW BAR,64,32,0,32,0,330,0,0,0,330,0,2,0,2,364,23296
FAT,126135,Golden Nuts Salado Nvo 1p 78g FLOW BAR,64,96,0,96,0,0,0,0,0,0,0,4,0,4,100,6400
FAT,126312,Chicharron De Cerdo 1p 30g FLOW BAR,26,304,16,320,0,2940,0,98,0,3038,0,121,0,121,3479,90454
FAT,126471,Chips Fuego Pc 1p 160g FLOW BAR,12,245,3,248,0,1323,0,0,0,1323,0,23,0,23,1594,19128
FAT,126473,Chips Sal Pc 1p 160g FLOW BAR,12,187,0,187,0,3528,0,98,0,3626,0,14,0,14,3827,45924
FAT,126475,Chips Jalapeno Pc 1p 160g FLOW BAR,12,118,3,121,0,2989,0,0,0,2989,0,16,0,16,3126,37512
FAT,126481,Chips Sal Pc 1p 150g FLOW BAR,12,53,0,53,0,2156,0,0,0,2156,0,14,0,14,2223,26676
FAT,126483,Chips Fuego Pc 1p 150g FLOW BAR,12,116,0,116,0,1225,0,0,0,1225,0,14,0,14,1355,16260
FAT,126485,Chips Jalapeno Pc 1p 150g FLOW BAR,12,62,0,62,0,1519,0,0,0,1519,0,0,0,0,1581,18972
FAT,126497,Takis Waves Fue 12ct 8oz227g CASE EXP BAR,12,0,0,0,0,3841,0,0,0,3841,0,1920,1920,3840,7681,92172
FAT,126554,Takis Original PC 1p 200g FLOW BAR#,20,108,0,108,0,49,0,0,0,49,0,1,0,1,158,3160
FAT,126578,Chips Fuego Sp Pc 1p 60g FLOW BAR,30,349,0,349,0,3283,0,0,0,3283,0,194,0,194,3826,114780
FAT,126736,Runners Fuego PC 1p 80g FLOW BAR,42,55,0,55,0,343,0,0,0,343,0,11,0,11,409,17178
FAT,126800,Chips Habanero PC 1p 150g BOLSA BAR,12,109,0,109,0,147,0,0,0,147,0,0,0,0,256,3072
